"Region","Type","Date_trade","Category","Turnover","Av_check"
"Belgorod Region","Internal","2021-01-01","Auto Parts & Accessories","255.86","6485"
"Bryansk Region","Internal","2021-01-01","Auto Parts & Accessories","277.04","8253"
"Vladimir Region","Internal","2021-01-01","Auto Parts & Accessories","354.88","8574"
"Voronezh Region","Internal","2021-01-01","Auto Parts & Accessories","608.76","5105"
"Ivanovo Region","Internal","2021-01-01","Auto Parts & Accessories","209.59","6783"
"Kaluga Region","Internal","2021-01-01","Auto Parts & Accessories","445.4","6797"
"Kostroma Region","Internal","2021-01-01","Auto Parts & Accessories","99.54","9159"
"Kursk Region","Internal","2021-01-01","Auto Parts & Accessories","191.99","5879"
"Lipetsk Region","Internal","2021-01-01","Auto Parts & Accessories","211.97","7027"
"Moscow","Internal","2021-01-01","Auto Parts & Accessories","9678.16","11622"
"Moscow Region","Internal","2021-01-01","Auto Parts & Accessories","5434.1","8066"
"Oryol Region","Internal","2021-01-01","Auto Parts & Accessories","122.64","9500"
"Ryazan Region","Internal","2021-01-01","Auto Parts & Accessories","212.25","5322"
"Smolensk Region","Internal","2021-01-01","Auto Parts & Accessories","178.63","8088"
"Tambov Region","Internal","2021-01-01","Auto Parts & Accessories","156.34","10419"
"Tver Region","Internal","2021-01-01","Auto Parts & Accessories","952.71","3069"
"Tula Region","Internal","2021-01-01","Auto Parts & Accessories","498.08","7480"
"Yaroslavl Region","Internal","2021-01-01","Auto Parts & Accessories","338.84","8110"
"Kirov Region","Internal","2021-01-01","Auto Parts & Accessories","243.07","5766"
"Nizhny Novgorod Region","Internal","2021-01-01","Auto Parts & Accessories","842.13","7626"
"Orenburg Region","Internal","2021-01-01","Auto Parts & Accessories","278","9004"
"Penza Region","Internal","2021-01-01","Auto Parts & Accessories","220.44","5523"
"Perm Krai","Internal","2021-01-01","Auto Parts & Accessories","615.28","5727"
"Republic of Bashkortostan","Internal","2021-01-01","Auto Parts & Accessories","818.79","4668"
"Republic of Mari El","Internal","2021-01-01","Auto Parts & Accessories","119.64","6037"
"Republic of Mordovia","Internal","2021-01-01","Auto Parts & Accessories","128.76","7407"
"Republic of Tatarstan","Internal","2021-01-01","Auto Parts & Accessories","866.93","5415"
"Samara Region","Internal","2021-01-01","Auto Parts & Accessories","662.34","5454"
"Saratov Region","Internal","2021-01-01","Auto Parts & Accessories","385.78","6084"
"Udmurt Republic","Internal","2021-01-01","Auto Parts & Accessories","253.11","6303"
"Ulyanovsk Region","Internal","2021-01-01","Auto Parts & Accessories","211.01","7399"
"Chuvash Republic","Internal","2021-01-01","Auto Parts & Accessories","258.07","7052"
"Arkhangelsk Region","Internal","2021-01-01","Auto Parts & Accessories","426.22","8759"
"Vologda Region","Internal","2021-01-01","Auto Parts & Accessories","444.43","8925"
"Kaliningrad Region","Internal","2021-01-01","Auto Parts & Accessories","487.6","3432"
"Leningradskaya Region","Internal","2021-01-01","Auto Parts & Accessories","665.25","5943"
"Murmansk Region","Internal","2021-01-01","Auto Parts & Accessories","576.04","12097"
"Nenets Autonomous Okrug","Internal","2021-01-01","Auto Parts & Accessories","22.02","11188"
"Novgorod Region","Internal","2021-01-01","Auto Parts & Accessories","219.94","4606"
"Pskov Region","Internal","2021-01-01","Auto Parts & Accessories","244","4566"
"Republic of Karelia","Internal","2021-01-01","Auto Parts & Accessories","236.98","9407"
"Komi Republic","Internal","2021-01-01","Auto Parts & Accessories","379.95","7785"
"Saint Petersburg","Internal","2021-01-01","Auto Parts & Accessories","3395.77","6307"
"Astrakhan Region","Internal","2021-01-01","Auto Parts & Accessories","226.39","9328"
"Volgograd Region","Internal","2021-01-01","Auto Parts & Accessories","470.71","6546"
"Krasnodar Krai","Internal","2021-01-01","Auto Parts & Accessories","1831.81","7242"
"Republic of Adygea","Internal","2021-01-01","Auto Parts & Accessories","77.73","6953"
"Republic of Kalmykia","Internal","2021-01-01","Auto Parts & Accessories","23.57","5311"
"Republic of Crimea","Internal","2021-01-01","Auto Parts & Accessories","27.44","14927"
"Rostov Region","Internal","2021-01-01","Auto Parts & Accessories","1071.3","5813"
"Sevastopol","Internal","2021-01-01","Auto Parts & Accessories","11.16","10005"
"Altai Krai","Internal","2021-01-01","Auto Parts & Accessories","372.56","8977"
"Irkutskaya Region","Internal","2021-01-01","Auto Parts & Accessories","610.38","10581"
"Kemerovo Region","Internal","2021-01-01","Auto Parts & Accessories","603.41","7269"
"Krasnoyarsk Krai","Internal","2021-01-01","Auto Parts & Accessories","748.75","9061"
"Novosibirsk Region","Internal","2021-01-01","Auto Parts & Accessories","782.01","7605"
"Omsk Region","Internal","2021-01-01","Auto Parts & Accessories","449.81","7209"
"Altai Republic","Internal","2021-01-01","Auto Parts & Accessories","36.93","9979"
"Republic of Tyva","Internal","2021-01-01","Auto Parts & Accessories","25.64","12112"
"Republic of Khakassia","Internal","2021-01-01","Auto Parts & Accessories","121.45","9149"
"Tomsk Region","Internal","2021-01-01","Auto Parts & Accessories","304.46","9141"
"Kurgan Region","Internal","2021-01-01","Auto Parts & Accessories","131.19","6922"
"Sverdlovsk Region","Internal","2021-01-01","Auto Parts & Accessories","1427.72","6268"
"Tyumen Region","Internal","2021-01-01","Auto Parts & Accessories","598.39","7221"
"Khanty-Mansiysk Autonomous Okrug","Internal","2021-01-01","Auto Parts & Accessories","629.15","8307"
"Chelyabinsk Region","Internal","2021-01-01","Auto Parts & Accessories","666.68","6408"
"Yamalo-Nenets Autonomous Okrug","Internal","2021-01-01","Auto Parts & Accessories","299.13","9786"
"Amur Region","Internal","2021-01-01","Auto Parts & Accessories","148.02","17067"
"Jewish Autonomous Region","Internal","2021-01-01","Auto Parts & Accessories","23.25","13775"
"Trans-Baikal Territory","Internal","2021-01-01","Auto Parts & Accessories","181.04","15112"
"Kamchatka Krai","Internal","2021-01-01","Auto Parts & Accessories","113.16","22583"
"Magadan Region","Internal","2021-01-01","Auto Parts & Accessories","80.63","27116"
"Primorsky Krai","Internal","2021-01-01","Auto Parts & Accessories","425.67","15878"
"Republic of Buryatia","Internal","2021-01-01","Auto Parts & Accessories","131.16","17052"
"Republic of Sakha (Yakutia)","Internal","2021-01-01","Auto Parts & Accessories","216.32","9231"
"Sakhalin Region","Internal","2021-01-01","Auto Parts & Accessories","136.84","21451"
"Khabarovsk Krai","Internal","2021-01-01","Auto Parts & Accessories","273.31","16699"
"Chukotka Autonomous Okrug","Internal","2021-01-01","Auto Parts & Accessories","21.26","25720"
"Kabardino-Balkarian Republic","Internal","2021-01-01","Auto Parts & Accessories","50.8","12655"
"Karachay-Cherkess Republic","Internal","2021-01-01","Auto Parts & Accessories","32.03","12530"
"Republic of Dagestan","Internal","2021-01-01","Auto Parts & Accessories","151.5","16388"
"Republic of Ingushetia","Internal","2021-01-01","Auto Parts & Accessories","18.64","28620"
"Republic of North Ossetia","Internal","2021-01-01","Auto Parts & Accessories","56.49","12386"
"Stavropol Krai","Internal","2021-01-01","Auto Parts & Accessories","423.38","10403"
"Chechen Republic","Internal","2021-01-01","Auto Parts & Accessories","54.73","21079"
"Belgorod Region","Internal","2021-01-01","Accessories","94.61","3560"
"Bryansk Region","Internal","2021-01-01","Accessories","68.23","3324"
"Vladimir Region","Internal","2021-01-01","Accessories","92.74","3428"
